2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Academy of Political Science,New York,New York,,,To support the design and publication of an electronic version of Political Science Quarterly,102000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Acadia University,Wolfville,,Nova Scotia,Canada,To study the best way to provide new studio classrooms for several science departments and to consider ways to connect them to local schools,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Adelphi University,Garden City,New York,,,To support the formulation of an information technology strategy,32000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Antiquarian Society,Worcester,Massachusetts,,,To support postdoctoral fellowships,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support research leaves for junior faculty members in the humanities,2300000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support core activities and new initiatives,2000000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support a subscription to JSTOR and its introduction to scholarly associations,14000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council on Education,Washington,DC,,,To support a project to bring a greater international focus to undergraduate education,42600
2000,HIGHER EDUCATION AND SCHOLARSHIP,"American Economic Association, Inc.",Nashville,Tennessee,,,To support research on the evolving role of regional economic associations,6000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Friends of the Institute of,Ithaca,New York,,,To support efforts to increase the level of private sector support for the Institute of Historical Research,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Fund of the University,Chicago,Illinois,,,To support graduate fellowships for students from disadvantaged backgrounds and to prepare them for academic careers,900000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Philosophical Society,Philadelphia,Pennsylvania,,,To support sabbatical fellowships for faculty members in the humanities and social sciences,1475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Political Science Association,Washington,DC,,,"To support a planning study, conducted in partnership with the Harvard University Library, to determine the feasibility and costs of establishing an online scholarly portal for the Association",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Pontifical Institute,Plymouth,Michigan,,,To endow a faculty chair in manuscript studies,840000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Society of International Law,Washington,DC,,,To support the development of discipline-based portal services,680000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.",Paris,,,France,To implement a new curriculum,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To support a postdoctoral fellowship program,500000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To strengthen the relationship between the academic and residential programs,105000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To support faculty career enhancement,91000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To design a business plan for the journal Hopscotch: A Cultural Review,15000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To foster presidential collaborative projects among member colleges,3000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To support a study of graduates of colleges in Central Appalachia,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To support digitization of selected archival materials at seven Appalachian colleges,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Associated Colleges of Central Kansas,McPherson,Kansas,,,To support an enrollment management project,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.",Chicago,Illinois,,,To support programs in information literacy and collaborative collections management,645000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.",Chicago,Illinois,,,To promote cooperation and collaboration among liberal arts colleges,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.",Atlanta,Georgia,,,To promote cooperation and collaboration among liberal arts colleges,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.",Atlanta,Georgia,,,"To support centers for educational technology in the Northeast, South, and Midwest",146500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association for Core Texts and Courses,Philadelphia,Pennsylvania,,,To permit a group of American scholars to consult on the development of core humanities programs in several universities in Central Asia,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association of Vermont Independent Colleges,Shelburne,Vermont,,,To support a collaborative venture in environmental science and technology,45400
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association pour le Rayonnement,Paris,,,France,To support the planning and organizing of the digitization of Dunhuang materials as part of the Mellon International Dunhuang Archive,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association pour le Rayonnement,Paris,,,France,To support the digitization and documentation of objects and photographs to be included in the Mellon International Dunhuang Archive,420000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Austin College,Sherman,Texas,,,To support faculty career enhancement and institutional planning on the use of instructional technology,25000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bard College,Annandale-on-Hudson,New York,,,"To support an interdisciplinary program in human rights, sponsored by Southern African universities and United States liberal arts colleges",320000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To endow a postdoctoral fellowship program,1500000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To support faculty career enhancement,650000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To support the renewal of an undergraduate fellowship program,400000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To strengthen the relationship between the academic and residential programs,122000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bates College,Lewiston,Maine,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bennington College,Bennington,Vermont,,,To support a new distance learning component for the college's language center,40000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bethune-Cookman College,Daytona Beach,Florida,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,300000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To support the renewal of an undergraduate fellowship program,400000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To support existing environmental studies programs,300000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To strengthen the relationship between the academic and residential programs,90000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,British Library,London,,,United Kingdom,"To support the digitization of manuscripts, texts, and related materials from the Library's Stein Collection",7100
2000,HIGHER EDUCATION AND SCHOLARSHIP,British Library,London,,,United Kingdom,To support the digitization and documentation of manuscripts and printed scrolls for the Mellon International Dunhuang Archive,1100000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brookings Institution,Washington,DC,,,To support postdoctoral fellowships,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brooklyn College,Brooklyn,New York,,,To support the renewal of an undergraduate fellowship program,300000,public
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support postdoctoral fellowships at the John Carter Brown Library,400000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,400000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support the renewal of an undergraduate fellowship program,300000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,To support the renewal of an undergraduate fellowship program,400000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,To strengthen the relationship between the academic and residential programs,92000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,"To support planning for the future of graduate programs in the history of art, classics, and classical and Near Eastern archeology",50000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Burlington Magazine Foundation, Inc.",New York,New York,,,To sustain and enhance the quality and accessibility of the magazine,641000
2000,HIGHER EDUCATION AND SCHOLARSHIP,California Institute of Technology,Pasadena,California,,,To support the renewal of an undergraduate fellowship program,150000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support faculty career enhancement,600000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support the renewal of an undergraduate fellowship program,350000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support existing environmental studies programs,300000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,Pittsburgh,Pennsylvania,,,To support the establishment of a Center for the Arts in Society,800000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,Pittsburgh,Pennsylvania,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,550000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,Case Western Reserve University,Cleveland,Ohio,,,"To support new ""Mellon Seminars: Issues in Interpretation""",48000,private
2000,HIGHER EDUCATION AND SCHOLARSHIP,CERGE-EI Foundation,Teaneck,New Jersey,,,For use as endowment,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,China Cultural Property Promotion Association,Beijing,,,China,To hire a translator for the training program that is part of the cooperative project between the Dunhuang Research Academy and the Foundation,43400
2000,HIGHER EDUCATION AND SCHOLARSHIP,China Cultural Property Promotion Association,Beijing,,,China,To support development of a training program in China as part of the cooperative project between the Dunhuang Research Academy and the Foundation,5000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Citizens' Scholarship Foundation of America, Inc.",St. Peter,Minnesota,,,To support a planning initiative with six selective liberal arts colleges to prepare low-income and minority students for higher education,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,City University of New York,New York,New York,,,"To support new ""Mellon Seminars: Issues in Interpretation""",45000,public
