year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvey Mudd College,"Claremont, California",To support a program of academic support and research opportunities for students from disadvantaged backgrounds,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Haverford College,"Haverford, Pennsylvania","To support the establishment of a collaborative creative residencies program within the liberal arts curriculum of Haverford, Swarthmore, and Bryn Mawr Colleges.","739,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,HBCU Faculty Development Network,"Tougaloo, Mississippi","To support historically black college and university faculty participation in the HBCU Faculty Development Network's annual meeting, strategic planning, and evaluation","70,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Hendrix College,"Conway, Arkansas","To support faculty development, workshops, and retreats in preparation for a revision of the general education program","450,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Hunter College,"New York, New York",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Hunter College,"New York, New York",To support the integration of the arts across the curriculum,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Illinois College,"Jacksonville, Illinois",To support revision of the general education program,"214,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Illinois Wesleyan University,"Bloomington, Illinois",To support writing and information literacy across the curriculum,"250,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Indiana University,"Bloomington, Indiana","To support a Sawyer Seminar on the Comparative Study of Cultures, entitled ""Food Choice, Freedom, and Politics""","172,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Institute of International Education, Inc.","New York, New York",To support the Graduate Fellowships for International Study program,"3,160,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Intercollegiate Center for Classical Studies,"Durham, North Carolina",To support the salary and costs associated with the Professor-in-Charge position,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Johns Hopkins University,"Baltimore, Maryland",To support summer stipends for doctoral students in the humanities,"3,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Kenyon College,"Gambier, Ohio",To support a unified teaching and learning initiative to address the core competencies of liberal education,"750,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Kenyon College,"Gambier, Ohio",To support a first-year writing program and a study to analyze the effectiveness of writing instruction at the college,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Lafayette College,"Easton, Pennsylvania",To support the integration of the performing and visual arts across the curriculum,"800,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Lafayette College,"Easton, Pennsylvania",To support a forum on the future of the liberal arts college,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Lawrence University,"Appleton, Wisconsin",To support continuation of the Senior Experience program,"450,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Lawrence University,"Appleton, Wisconsin",To support an academic program in dance studies,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Lewis and Clark College,"Portland, Oregon",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,LYRASIS,"Atlanta, Georgia",To support the strengthening of libraries at historically black colleges and universities,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,McDaniel College,"Westminster, Maryland",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,"Middlebury, Vermont",To support faculty bridge appointments in anticipation of retirements and evolving needs in the humanities and social sciences,"800,000"
